"id";"max_difference";"time_difference_seconds";"rounds_to_converge";"recorded_at"
26;3;30;3;"2026-03-09 21:33:47"
27;-3;96;3;"2026-03-09 21:36:30"
28;-1;70;1;"2026-03-09 21:39:01"
29;1;16;1;"2026-03-09 21:40:50"
30;-3;143;5;"2026-03-09 21:44:44"
31;-1;26;1;"2026-03-09 21:46:27"
32;5;133;9;"2026-03-09 21:53:10"
33;-7;387;13;"2026-03-09 22:06:03"
34;1;9;1;"2026-03-09 22:09:07"
35;-1;27;1;"2026-03-09 22:11:36"
36;-1;31;1;"2026-03-09 22:13:40"
37;3;41;3;"2026-03-09 22:16:39"
38;-6;287;14;"2026-03-09 22:24:42"
39;-1;23;1;"2026-03-09 22:26:30"
40;1;10;1;"2026-03-09 22:28:20"
41;-4;84;4;"2026-03-09 22:31:06"
42;6;189;12;"2026-03-09 22:39:07"
43;-1;24;1;"2026-03-09 22:40:57"
44;7;284;17;"2026-03-09 22:55:50"
45;-3;138;7;"2026-03-09 22:59:16"
46;5;296;15;"2026-03-09 23:08:25"
